368.00,363.90,55.00,334.77,349.17,33.00,49.70,49.00,50.07,49.83,3.44
361.00,363.65,56.00,308.21,335.76,33.00,48.11,49.00,49.97,48.98,3.29
361.00,363.40,52.00,283.69,323.38,32.00,46.57,50.00,49.97,48.21,3.16
372.00,364.20,60.00,262.05,312.95,32.00,45.16,51.00,50.06,47.55,3.05
367.00,364.48,62.00,242.71,303.42,33.00,43.99,53.00,50.34,47.10,2.94
367.00,364.72,58.00,224.79,294.58,31.00,42.73,53.00,50.59,46.60,2.84
370.00,365.22,58.00,208.64,286.76,33.00,41.78,51.00,50.64,46.15,2.76
364.00,365.12,58.00,194.01,279.39,34.00,41.02,51.00,50.67,45.79,2.68
363.00,364.93,51.00,180.16,272.37,33.00,40.25,51.00,50.71,45.42,2.60
361.00,364.56,52.00,167.72,265.97,33.00,39.54,48.00,50.46,44.94,2.54
354.00,363.57,51.00,156.40,259.81,31.00,38.72,49.00,50.32,44.46,2.47
366.00,363.37,51.00,136.68,249.85,33.00,37.66,48.00,49.98,43.76,2.37
361.00,362.77,49.00,120.92,241.67,31.00,36.61,49.00,49.80,43.14,2.28
368.00,363.25,54.00,114.40,238.65,33.00,36.25,48.00,49.63,42.88,2.24
364.00,363.33,54.00,108.53,235.75,34.00,36.03,50.00,49.66,42.78,2.21
388.00,368.02,59.00,99.44,233.55,44.00,37.36,57.00,51.06,44.15,2.17
359.00,366.56,48.00,90.24,228.22,36.00,37.31,48.00,50.62,43.90,2.11
382.00,368.81,60.00,84.26,226.36,44.00,38.34,56.00,51.41,44.81,2.08
372.00,369.14,51.00,81.06,224.92,39.00,38.41,49.00,51.20,44.75,2.07
362.00,368.49,52.00,75.61,221.87,39.00,38.53,48.00,50.71,44.56,2.03
384.00,370.22,58.00,71.81,220.84,46.00,39.53,50.00,50.75,45.08,2.01
364.00,368.71,48.00,67.45,217.90,38.00,39.36,49.00,50.26,44.75,1.99
376.00,368.28,54.00,64.51,216.21,44.00,39.76,56.00,50.59,45.12,1.97
382.00,369.57,56.00,63.67,216.44,49.00,40.63,59.00,51.38,45.95,1.95
358.00,367.52,48.00,61.06,214.11,39.00,40.36,49.00,50.98,45.61,1.93
384.00,368.72,59.00,59.60,213.98,54.00,41.43,51.00,50.72,46.01,1.92
363.00,367.46,48.00,57.31,212.21,39.00,41.02,48.00,50.23,45.57,1.91
357.00,366.48,49.00,56.51,211.32,39.00,40.84,48.00,50.02,45.37,1.90
358.00,365.66,46.00,55.50,210.40,39.00,40.66,48.00,49.82,45.18,1.90
358.00,367.02,50.00,55.25,210.95,39.00,41.05,48.00,50.26,45.59,1.90
363.00,366.04,50.00,54.03,209.85,39.00,40.68,48.00,49.86,45.21,1.89
374.00,367.19,49.00,53.97,210.40,40.00,41.16,49.00,50.30,45.67,1.89
359.00,366.44,49.00,53.49,209.78,39.00,40.95,46.00,49.90,45.36,1.89
368.00,366.57,54.00,53.53,209.87,41.00,40.96,47.00,49.62,45.23,1.89
383.00,367.45,57.00,53.36,210.22,48.00,41.36,56.00,49.89,45.56,1.89
366.00,368.86,49.00,53.27,210.88,39.00,41.72,47.00,50.25,45.92,1.89
368.00,367.95,54.00,53.23,210.40,45.00,41.80,54.00,50.40,46.04,1.89
387.00,369.72,57.00,53.58,211.46,47.00,42.29,56.00,50.93,46.55,1.89
391.00,371.73,64.00,54.55,212.96,51.00,43.11,62.00,51.97,47.48,1.90
364.00,369.98,51.00,53.94,211.77,39.00,42.40,50.00,51.74,47.01,1.89
384.00,371.62,60.00,55.03,213.14,48.00,43.31,57.00,52.86,48.02,1.90
358.00,370.16,54.00,54.77,212.28,40.00,42.82,49.00,52.27,47.48,1.89
359.00,369.10,49.00,54.24,211.48,39.00,42.46,49.00,51.96,47.15,1.89
361.00,368.32,48.00,53.64,210.79,40.00,42.22,49.00,51.68,46.89,1.87
371.00,370.15,48.00,53.65,211.71,39.00,42.58,52.00,52.67,47.57,1.89
358.00,368.50,49.00,52.72,210.42,41.00,42.29,52.00,52.47,47.32,1.87
380.00,370.19,55.00,52.93,211.37,48.00,43.40,61.00,54.00,48.64,1.86
358.00,369.07,47.00,52.38,210.54,42.00,43.28,53.00,53.93,48.54,1.85
355.00,367.74,41.00,51.31,209.34,39.00,42.89,54.00,53.94,48.35,1.84
353.00,365.41,50.00,50.79,207.91,39.00,42.18,54.00,53.87,47.96,1.83
355.00,363.92,49.00,50.37,206.95,39.00,41.60,51.00,53.44,47.46,1.83
359.00,362.65,47.00,49.84,206.06,37.00,40.84,49.00,52.64,46.68,1.83
369.00,363.22,56.00,50.40,206.62,46.00,41.31,51.00,52.47,46.83,1.83
385.00,365.25,57.00,51.03,207.95,46.00,41.75,58.00,52.98,47.30,1.84
364.00,366.89,54.00,51.75,209.13,42.00,42.16,54.00,53.26,47.64,1.85
376.00,368.64,53.00,52.16,210.21,40.00,42.03,56.00,53.75,47.83,1.86
368.00,369.07,48.00,52.12,210.41,38.00,41.65,51.00,53.70,47.62,1.86
373.00,369.44,54.00,52.28,210.68,40.00,41.49,54.00,53.73,47.55,1.87
358.00,368.39,52.00,52.26,210.14,36.00,40.97,50.00,53.38,47.12,1.87
367.00,370.37,51.00,52.81,211.40,37.00,41.28,49.00,53.80,47.48,1.87
358.00,368.16,49.00,52.48,210.13,37.00,40.59,51.00,53.38,46.92,1.87
363.00,366.77,51.00,52.29,209.34,39.00,40.55,54.00,53.83,47.13,1.86
359.00,366.02,48.00,51.89,208.76,37.00,40.21,53.00,53.75,46.92,1.85
377.00,367.02,53.00,51.98,209.31,39.00,40.09,56.00,53.96,46.96,1.86
