236.00,232.40,230.00,225.23,228.81,120.00,128.60,121.00,138.53,133.57,0.53,8272.00
251.00,232.77,248.00,226.25,229.51,124.00,127.24,124.00,136.00,131.62,0.54,8276.00
240.00,232.48,239.00,226.45,229.46,130.00,126.40,131.00,134.32,130.36,0.54,8264.00
228.00,231.97,227.00,226.25,229.11,118.00,125.68,118.00,133.06,129.37,0.54,8264.00
252.00,232.94,252.00,227.57,230.25,135.00,126.13,140.00,133.34,129.73,0.55,8284.00
231.00,231.98,230.00,227.23,229.60,118.00,124.59,123.00,131.31,127.95,0.55,8280.00
236.00,231.50,231.00,227.06,229.27,120.00,123.49,123.00,129.72,126.60,0.56,8276.00
252.00,232.19,254.00,228.18,230.18,124.00,122.74,124.00,128.34,125.54,0.57,8280.00
227.00,231.64,228.00,227.92,229.78,116.00,122.13,116.00,127.35,124.74,0.57,8280.00
230.00,231.31,231.00,227.88,229.59,118.00,121.70,119.00,126.63,124.17,0.57,8276.00
230.00,230.55,229.00,227.46,229.00,117.00,120.66,116.00,124.88,122.77,0.58,8264.00
230.00,229.87,231.00,227.21,228.53,117.00,119.82,116.00,123.36,121.59,0.58,8260.00
230.00,229.33,230.00,226.92,228.12,116.00,119.02,117.00,122.10,120.56,0.58,8268.00
229.00,229.08,229.00,226.82,227.94,116.00,118.67,115.00,121.47,120.07,0.58,8272.00
231.00,228.96,231.00,226.84,227.90,118.00,118.46,116.00,120.95,119.71,0.59,8284.00
228.00,229.47,230.00,227.72,228.59,117.00,118.95,114.00,120.79,119.87,0.59,8248.00
230.00,229.15,228.00,227.59,228.36,117.00,118.78,115.00,120.30,119.54,0.59,8292.00
231.00,228.75,231.00,227.43,228.09,118.00,118.19,115.00,119.26,118.73,0.59,8284.00
229.00,228.53,226.00,227.12,227.82,116.00,117.89,113.00,118.68,118.29,0.59,8316.00
228.00,228.27,227.00,226.89,227.58,115.00,117.54,115.00,118.28,117.91,0.59,8292.00
